Id,Model,Age_08_04,Mfg_Month,KM,HP,cc,Quarterly_Tax,Weight,Price (Y),,,,
216,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,33,12,78108,90,2000,210,1170,13500,,,,
217,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,33,12,77321,110,1600,85,1075,10950,,,,
218,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,33,12,75699,69,1900,185,1105,13500,,,,
219,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,41,4,75697,97,1400,69,1025,10950,,,,
220,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,44,1,74846,97,1400,69,1025,10950,,,,
221,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,38,7,74319,110,1600,85,1075,12950,,,,
222,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,43,2,74285,110,1600,85,1075,11950,,,,
223,TOYOTA Corolla 1.6 HB LINEA SOL 4/5-Doors,44,1,74172,110,1600,163,1615,12450,,,,
224,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,40,5,73042,110,1598,85,1075,11950,,,,
225,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,44,1,71793,110,1600,197,1067,14950,,,,
226,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,35,10,71200,110,1600,85,1075,12450,,,,
227,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,38,7,67805,110,1600,85,1075,12950,,,,
228,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,35,10,65988,110,1600,69,1040,11950,,,,
229,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,34,11,65345,97,1400,85,1060,11690,,,,
230,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,42,3,64564,110,1600,85,1080,12450,,,,
231,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,36,9,63459,97,1400,85,1060,12750,,,,
232,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,44,1,63451,97,1400,69,1025,11925,,,,
233,TOYOTA Corolla LIFTBACK 1.6-16v Linea Luna 4/5-Doors,33,12,62000,110,1600,19,1075,12950,,,,
234,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,42,3,61300,97,1400,69,1030,11950,,,,
235,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,41,4,61200,110,1600,69,1045,12900,,,,
236,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,41,4,61000,110,1600,85,1075,11900,,,,
237,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,38,7,60829,110,1600,85,1075,11650,,,,
238,TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,44,1,60500,110,1600,85,1075,10950,,,,
239,TOYOTA Corolla 1.9 D HB SOL 2/3-Doors,35,10,59500,69,1900,64,1110,13950,,,,
240,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL AUT4 4/5-Doors,44,1,59000,110,1600,85,1110,13950,,,,
241,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,40,5,58954,110,1600,85,1080,11950,,,,
242,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,38,7,58798,110,1600,85,1075,10950,,,,
243,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,38,7,58363,110,1600,85,1055,12450,,,,
244,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,43,2,58277,110,1600,69,1045,11950,,,,
245,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,33,12,57711,90,2000,210,1165,13500,,,,
246,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,33,12,57269,110,1600,85,1075,11690,,,,
247,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,39,6,56001,110,1600,85,1075,13500,,,,
248,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,42,3,55968,110,1600,69,1050,11950,,,,
249,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,39,6,55678,110,1600,69,1030,12900,,,,
250,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,43,2,55539,110,1600,85,1085,13500,,,,
251,TOYOTA Corolla 1.6 GL LB 4/5-Doors,42,3,55400,110,1600,85,1075,11750,,,,
252,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,33,12,55350,110,1600,85,1075,11750,,,,
253,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,43,2,54600,110,1600,69,1030,10850,,,,
254,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,43,2,53773,110,1600,85,1075,11750,,,,
255,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,42,3,53719,110,1600,85,1105,14950,,,,
256,TOYOTA Corolla 1.6 Terra 5-Doors Liftback 4/5-Doors,39,6,53644,110,1600,19,1075,9940,,,,
257,TOYOTA Corolla 1.6-16v Linea Terra LB 4/5-Doors,42,3,53350,110,1600,85,1075,12900,,,,
258,TOYOTA Corolla 1.6I Luna liftback 4/5-Doors,38,7,53000,110,1600,85,1075,13500,,,,
259,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,44,1,52084,97,1400,69,1025,11750,,,,
260,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,44,1,52000,97,1400,69,1025,11950,,,,
261,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,33,12,51945,110,1600,85,1075,13450,,,,
262,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,41,4,51732,97,1400,69,1025,11950,,,,
263,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,39,6,50873,110,1600,85,1075,12495,,,,
264,TOYOTA Corolla 1.6 Linea Terra Sedan 4/5-Doors,41,4,50856,110,1600,69,1030,13500,,,,
265,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,40,5,50640,110,1600,85,1075,12750,,,,
266,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,39,6,50000,97,1400,85,1060,12000,,,,
267,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,38,7,49500,110,1600,85,1075,11950,,,,
268,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,44,1,49332,110,1600,85,1080,12495,,,,
269,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,34,11,49291,110,1600,69,1040,12450,,,,
270,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,40,5,48952,90,2000,210,1205,14750,,,,
271,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,39,6,48945,110,1600,69,1040,10950,,,,
272,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,33,12,48928,69,1900,185,1105,13500,,,,
273,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,38,7,48197,110,1600,85,1075,12950,,,,
274,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,35,10,48052,69,1900,185,1105,13500,,,,
275,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,34,11,48011,110,1600,69,1030,13450,,,,
276,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,43,2,48000,110,1600,85,1075,13500,,,,
277,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,41,4,47350,110,1600,85,1075,11480,,,,
278,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,39,6,46821,97,1400,85,1060,13450,,,,
279,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,39,6,46694,110,1600,69,1040,11495,,,,
280,TOYOTA Corolla 1.4 VVTI L.Terra HB 4/5-Doors,43,2,46515,97,1400,69,1025,12750,,,,
281,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,38,7,46327,110,1600,85,1055,14990,,,,
282,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,35,10,46304,97,1400,85,1060,12950,,,,
283,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,40,5,45886,110,1600,85,1080,12950,,,,
284,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,39,6,45713,97,1400,19,1085,12850,,,,
285,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,40,5,45600,110,1600,85,1105,13950,,,,
286,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,41,4,45287,110,1600,85,1075,11950,,,,
287,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,39,6,45081,110,1600,85,1075,12950,,,,
288,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,40,5,44830,110,1600,85,1075,11700,,,,
289,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,37,8,44757,97,1400,69,1025,9950,,,,
290,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,44,1,44218,97,1400,85,1060,11895,,,,
291,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,43,2,43632,110,1600,85,1075,12950,,,,
292,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,36,9,43427,110,1600,69,1040,12500,,,,
293,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,39,6,43254,110,1600,85,1075,13875,,,,
294,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,35,10,43000,110,1600,69,1050,10500,,,,
295,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,33,12,42823,110,1600,85,1075,12295,,,,
296,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,42,3,42560,110,1600,85,1080,13950,,,,
297,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,38,7,41754,110,1600,69,1040,10950,,,,
298,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,44,1,41499,110,1600,197,1103,12950,,,,
299,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,40,5,41339,110,1600,85,1080,12850,,,,
300,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,35,10,41000,110,1600,85,1075,13995,,,,
301,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,39,6,40000,110,1600,85,1055,13750,,,,
302,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,37,8,39757,110,1600,85,1075,12750,,,,
303,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,41,4,39659,110,1600,69,1045,12500,,,,
304,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,43,2,39650,110,1600,85,1055,13950,,,,
305,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,39,6,39524,97,1398,69,1025,11500,,,,
306,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,44,1,39516,97,1400,85,1060,13950,,,,
307,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,41,4,39439,97,1400,85,1060,11895,,,,
308,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,44,1,39000,97,1400,69,1025,9950,,,,
309,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 2/3-Doors,42,3,38932,110,1600,69,1040,13500,,,,
310,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,37,8,38812,97,1400,69,1025,11450,,,,
311,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,42,3,38665,110,1600,85,1075,12450,,,,
312,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,40,5,38653,110,1600,85,1080,12950,,,,
313,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,44,1,38461,110,1600,85,1080,13995,,,,
314,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,42,3,38078,97,1400,69,1025,11750,,,,
315,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,39,6,37782,97,1400,85,1060,11650,,,,
316,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,43,2,37576,97,1400,69,1030,9950,,,,
317,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,41,4,37533,110,1600,85,1075,13950,,,,
318,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,44,1,37389,110,1600,85,1080,12950,,,,
319,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,38,7,37320,97,1400,69,1025,10950,,,,
320,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,42,3,37000,97,1400,69,1025,9900,,,,
321,TOYOTA Corolla 1.6 SDN LINEA TERRA 4/5-Doors,44,1,37000,110,1600,19,1075,11950,,,,
322,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,40,5,36566,110,1600,85,1090,11990,,,,
323,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,36,9,36269,110,1600,85,1075,10750,,,,
324,TOYOTA Corolla 1.6 VVTi Linea terra 4/5-Doors,37,8,36074,110,1600,19,1075,13950,,,,
325,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,44,1,36066,110,1600,69,1040,11250,,,,
326,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,39,6,34599,110,1600,85,1075,12950,,,,
327,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,41,4,34000,110,1600,85,1075,11950,,,,
328,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,42,3,33623,97,1400,69,1025,10950,,,,
329,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,33,12,33591,110,1600,85,1075,12950,,,,
330,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,35,10,33258,110,1600,85,1075,12950,,,,
331,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,43,2,33113,110,1600,85,1075,11695,,,,
332,TOYOTA Corolla 1.6v VVT-i Linea Sol 4/5-Doors,41,4,33000,110,1600,19,1075,11000,,,,
333,?TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,35,10,32941,110,1600,85,1080,13950,,,,
334,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,38,7,32781,110,1600,85,1075,11950,,,,
335,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,40,5,32532,110,1600,69,1040,11750,,,,
336,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,34,11,32431,97,1400,85,1060,12400,,,,
337,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,35,10,32000,110,1600,69,1040,12500,,,,
339,TOYOTA Corolla 1.6I LIFTBACK 4/5-Doors,33,12,31000,110,1600,19,1075,12900,,,,
340,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,41,4,30989,110,1600,69,1045,12200,,,,
341,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,43,2,30742,110,1600,69,1040,12750,,,,
342,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,42,3,30190,110,1600,85,1075,11950,,,,
343,TOYOTA Corolla Liftback 1.6 VVTI 4/5-Doors,41,4,29716,116,1600,85,1075,11900,,,,
344,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,44,1,29716,110,1600,85,1070,11950,,,,
345,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,42,3,29640,110,1600,85,1055,14950,,,,
346,?TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,41,4,29056,97,1400,85,1060,11950,,,,
347,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,33,12,28715,110,1600,85,1075,12950,,,,
348,?TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,41,4,28571,110,1600,85,1090,14950,,,,
349,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,40,5,28362,110,1600,69,1040,13450,,,,
350,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,38,7,28150,110,1600,85,1075,13750,,,,
351,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,43,2,27301,110,1600,69,1040,12950,,,,
352,?TOYOTA Corolla 1.6 Terra LB Comf. 4/5-Doors,33,12,27240,110,1600,85,1075,12750,,,,
353,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,39,6,27170,97,1400,85,1060,11895,,,,
354,?TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,42,3,27141,97,1400,85,1060,9950,,,,
355,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,38,7,26262,110,1600,85,1075,12450,,,,
356,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,38,7,26000,97,1400,85,1060,12500,,,,
357,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,43,2,25228,110,1600,69,1045,14950,,,,
358,?TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,39,6,25062,110,1600,85,1080,13750,,,,
359,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,39,6,24723,110,1600,85,1060,12695,,,,
360,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,33,12,24650,110,1600,85,1055,14990,,,,
361,?TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,43,2,24553,110,1600,85,1080,12750,,,,
362,?TOYOTA Corolla 1.6 VVTi Terra Comfort 4/5-Doors,41,4,24475,110,1600,69,1030,14350,,,,
363,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,39,6,24444,110,1600,69,1040,12950,,,,
364,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,35,10,24011,97,1400,69,1025,11500,,,,
365,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,41,4,24000,97,1400,69,1025,11950,,,,
366,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,40,5,23616,110,1600,85,1075,13450,,,,
367,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,38,7,22865,110,1600,85,1075,12900,,,,
368,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,41,4,22780,86,1300,69,1035,10500,,,,
369,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,35,10,21904,97,1400,69,1025,10950,,,,
370,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,41,4,21651,97,1400,69,1025,11950,,,,
371,TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 4/5-Doors,37,8,21500,110,1600,69,1030,11450,,,,
372,?TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,44,1,21027,110,1600,85,1080,13250,,,,
373,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,39,6,18500,110,1600,69,1030,10250,,,,
374,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,35,10,18000,110,1600,85,1075,13995,,,,
375,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,40,5,17051,97,1400,85,1060,11950,,,,
376,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,33,12,16512,97,1400,19,1085,13250,,,,
377,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,40,5,16325,110,1600,85,1080,12950,,,,
378,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,38,7,16000,97,1400,85,1060,11750,,,,
379,TOYOTA Corolla 1.6 Linea Terra LB 4/5-Doors,39,6,12000,110,1600,85,1075,11500,,,,
380,TOYOTA Corolla 1.4 VVTI LB 4/5-Doors,43,2,10000,97,1400,85,1060,13500,,,,
381,?TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,53,4,216000,69,1900,185,1110,6500,,,,
382,TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,51,6,198167,69,1900,185,1095,6400,,,,
383,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,53,4,176000,69,1900,185,1105,7000,,,,
384,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,54,3,174139,72,2000,185,1100,7750,,,,
385,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,45,12,174000,69,1900,185,1095,8900,,,,
386,TOYOTA Corolla 1.6 VVTi Linea terra 2/3-Doors,55,2,150000,110,1600,72,1075,8500,,,,
387,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,54,3,149329,72,2000,185,1135,8950,,,,
388,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,51,6,146736,110,1600,85,1080,9900,,,,
389,TOYOTA Corolla 1.9 D LIFTB LUNA 4/5-Doors,53,4,143513,69,1900,185,1140,10250,,,,
390,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,48,9,142130,110,1600,197,1119,9250,,,,
391,TOYOTA Corolla 1.9 D WGN LINEA TERRA Stationwagen,48,9,140700,69,1900,64,1110,7750,,,,
392,?TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,54,3,138394,69,1900,185,1095,9450,,,,
393,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,55,2,137000,72,2000,185,1135,7750,,,,
394,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,52,5,135258,69,1900,185,1140,8250,,,,
395,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,49,8,131364,110,1600,85,1075,9950,,,,
396,TOYOTA Corolla 1.8D Stationwagen,56,1,129155,69,1800,64,1110,4450,,,,
397,?TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,50,7,126110,110,1600,85,1055,9950,,,,
398,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,48,9,119742,110,1600,85,1080,9000,,,,
399,TOYOTA Corolla 1.9 D LB LINEA SOL 4/5-Doors,53,4,117913,69,1900,64,1110,9950,,,,
400,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,47,10,117430,90,2000,210,1165,12450,,,,
401,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,55,2,117175,110,1600,69,1035,10500,,,,
402,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,54,3,115558,110,1600,69,1035,10750,,,,
403,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,53,4,115113,97,1400,69,1025,8950,,,,
404,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,54,3,115046,69,1900,185,1140,10500,,,,
405,TOYOTA Corolla 2.0D 4/5-Doors,56,1,113997,72,2000,64,1135,5150,,,,
406,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,49,8,107859,97,1400,85,1060,10950,,,,
407,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,52,5,104805,97,1400,69,1025,9450,,,,
408,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,54,3,103454,110,1600,85,1075,9950,,,,
409,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,51,6,103018,69,1900,185,1140,10950,,,,
410,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,47,10,102352,110,1600,85,1080,11900,,,,
411,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,50,7,102030,97,1400,85,1060,9950,,,,
412,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,54,3,101352,110,1600,85,1080,11950,,,,
413,TOYOTA Corolla 1.6 16v TERRA 4/5-Doors,50,7,99865,110,1600,69,1035,7900,,,,
414,?TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,52,5,99323,110,1600,85,1055,10950,,,,
415,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,48,9,98100,69,1900,185,1140,8950,,,,
416,?TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,51,6,98040,110,1600,85,1080,11950,,,,
417,TOYOTA Corolla 1.6 HB SOL 2/3-Doors,49,8,97600,110,1600,69,1045,10900,,,,
418,?TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,55,2,97234,110,1600,85,1080,9950,,,,
419,?TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,51,6,96135,72,2000,185,1115,9950,,,,
420,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,54,3,96100,110,1600,85,1080,10950,,,,
421,?TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,55,2,94401,72,2000,185,1115,8950,,,,
422,?TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,55,2,94122,86,1300,69,1015,8950,,,,
423,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,49,8,91340,110,1600,85,1055,10500,,,,
424,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,53,4,90200,97,1400,69,1025,8950,,,,
425,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,53,4,90097,69,1900,185,1140,9250,,,,
426,?TOYOTA Corolla LIFTBACK 1.4 VVT-i LINEA TERRA 4/5-Doors,48,9,89049,97,1400,85,1060,11500,,,,
427,?TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,52,5,89000,110,1600,85,1075,9750,,,,
428,?TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,45,12,87274,110,1600,69,1040,9950,,,,
429,?TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,49,8,86221,110,1600,69,1045,11450,,,,
430,TOYOTA Corolla 1.6 VVT-i L. Sol Wagon Stationwagen,54,3,84598,110,1600,19,1075,12500,,,,
431,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,50,7,83567,110,1600,85,1075,10500,,,,
432,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,50,7,83106,110,1600,85,1075,12950,,,,
433,?TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,50,7,82805,110,1600,69,1040,12200,,,,
434,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,50,7,82735,97,1400,69,1030,10950,,,,
435,?TOYOTA Corolla 1.6 LB LINEA SOL 4/5-Doors,54,3,81905,110,1600,19,1105,10950,,,,
